	auc	binaryaccuracy	precision	recall	seed
0	0.4848485	0.5294118	0.33333334	0.33333334	42
1	0.65	0.5882353	0.4	0.8	42
2	0.52380955	0.64705884	0.2	0.33333334	42
3	0.7115385	0.8235294	0.6666667	0.5	42
4	0.55833334	0.7058824	0.5	0.2	42
5	0.89285713	0.8235294	0.5	1.0	42
6	0.775	0.7647059	0.5714286	0.8	42
7	0.625	0.6875	0.4	0.5	42
8	0.6410256	0.625	0.2857143	0.6666667	42
9	0.73333335	0.75	0.6666667	0.6666667	42
10	0.47500002	0.5882353	0.25	0.2	135
11	0.45238093	0.5294118	0.14285715	0.33333334	135
12	0.78571427	0.64705884	0.33333334	1.0	135
13	0.4	0.7058824	0.0	0.0	135
14	0.6642857	0.7058824	0.75	0.42857143	135
15	0.74242425	0.7647059	0.6666667	0.6666667	135
16	0.7115385	0.8235294	0.6666667	0.5	135
17	0.6181818	0.625	0.42857143	0.6	135
18	0.7948718	0.875	0.6666667	0.6666667	135
19	0.75	0.8125	1.0	0.5	135
20	0.7261905	0.7647059	0.4	0.6666667	23
21	0.6642857	0.7058824	0.75	0.42857143	23
22	0.7211539	0.7058824	0.42857143	0.75	23
23	0.5096154	0.64705884	0.25	0.25	23
24	0.673077	0.7647059	0.5	0.5	23
25	0.69696975	0.7058824	0.5714286	0.6666667	23
26	0.92857146	0.88235295	0.6	1.0	23
27	0.70909095	0.75	0.6	0.6	23
28	0.65000004	0.6875	0.6	0.5	23
29	0.64285713	0.75	0.25	0.5	23
30	0.65909094	0.7058824	0.6	0.5	7
31	0.675	0.7058824	0.5	0.6	7
32	0.9666667	0.9411765	0.6666667	1.0	7
33	0.69696975	0.7058824	0.5714286	0.6666667	7
34	0.59615386	0.64705884	0.33333334	0.5	7
35	0.45238093	0.5294118	0.14285715	0.33333334	7
36	0.69047624	0.7058824	0.33333334	0.6666667	7
37	0.41818184	0.5	0.2	0.2	7
38	0.7545454	0.8125	0.75	0.6	7
39	0.8636364	0.8125	0.625	1.0	7
40	0.7569444	0.7647059	0.8333333	0.625	49
41	0.85714287	0.7647059	0.42857143	1.0	49
42	0.58653843	0.7647059	0.5	0.25	49
43	0.3846154	0.5882353	0.0	0.0	49
44	0.7166667	0.7647059	0.6	0.6	49
45	0.8257575	0.8235294	0.71428573	0.8333333	49
46	0.53030306	0.5882353	0.4	0.33333334	49
47	0.6785714	0.8125	0.33333334	0.5	49
48	0.5512821	0.6875	0.25	0.33333334	49
49	0.7564103	0.8125	0.5	0.6666667	49
50	0.675	0.7058824	0.5	0.6	1991
51	0.63571423	0.64705884	0.5714286	0.5714286	1991
52	0.7619048	0.8235294	0.5	0.6666667	1991
53	0.7596154	0.7647059	0.5	0.75	1991
54	0.63461536	0.7058824	0.4	0.5	1991
55	0.7619048	0.8235294	0.5	0.6666667	1991
56	0.44696972	0.5294118	0.25	0.16666667	1991
57	0.5416666	0.6875	0.33333334	0.25	1991
58	0.8	0.625	0.14285715	1.0	1991
59	0.6587302	0.6875	0.75	0.42857143	1991
60	0.6857143	0.7058824	0.6666667	0.5714286	1970
61	0.4916667	0.5294118	0.2857143	0.4	1970
62	0.673077	0.7647059	0.5	0.5	1970
63	0.9166666	0.88235295	0.71428573	1.0	1970
64	0.7166667	0.7647059	0.6	0.6	1970
65	0.5480769	0.7058824	0.33333334	0.25	1970
66	0.6212121	0.7058824	0.6666667	0.33333334	1970
67	0.3846154	0.625	0.0	0.0	1970
68	0.7564103	0.8125	0.5	0.6666667	1970
69	0.60714287	0.6875	0.2	0.5	1970
70	0.7619048	0.8235294	0.5	0.6666667	30
71	0.82142854	0.7058824	0.375	1.0	30
72	0.65909094	0.7058824	0.6	0.5	30
73	0.42857143	0.7058824	0.0	0.0	30
74	0.7583333	0.8235294	0.75	0.6	30
75	0.78571427	0.64705884	0.33333334	1.0	30
76	0.0	0.7647059	0.0	0.0	30
77	0.42063493	0.4375	0.33333334	0.2857143	30
78	0.80158734	0.8125	0.8333333	0.71428573	30
79	0.71428573	0.75	1.0	0.42857143	30
80	0.42307693	0.64705884	0.0	0.0	108
81	0.52380955	0.64705884	0.2	0.33333334	108
82	0.675	0.7058824	0.5	0.6	108
83	0.675	0.7058824	0.5	0.6	108
84	0.8846154	0.8235294	0.5714286	1.0	108
85	0.65000004	0.7647059	0.25	0.5	108
86	0.3958333	0.4117647	0.25	0.125	108
87	0.71794873	0.75	0.4	0.6666667	108
88	0.57272726	0.5625	0.375	0.6	108
89	0.95454544	0.9375	0.8333333	1.0	108
90	0.675	0.7058824	0.5	0.6	5
91	0.92857146	0.88235295	0.6	1.0	5
92	0.65476197	0.64705884	0.2857143	0.6666667	5
93	0.775	0.7647059	0.5714286	0.8	5
94	0.74242425	0.7647059	0.6666667	0.6666667	5
95	0.6136364	0.64705884	0.5	0.5	5
96	0.7583333	0.8235294	0.75	0.6	5
97	0.45833328	0.5625	0.2	0.25	5
98	0.6999999	0.75	0.75	0.5	5
99	0.8333333	0.6875	0.16666667	1.0	5
