	auc	binaryaccuracy	precision	recall	seed
0	0.4015151262283325	0.47058823704719543	0.20000000298023224	0.1666666716337204	42
1	0.7333332896232605	0.7058823704719543	0.5	0.800000011920929	42
2	0.25	0.4117647111415863	0.0	0.0	42
3	0.38461539149284363	0.5882353186607361	0.0	0.0	42
4	0.5166666507720947	0.6470588445663452	0.3333333432674408	0.20000000298023224	42
5	0.6904762387275696	0.7058823704719543	0.3333333432674408	0.6666666865348816	42
6	0.550000011920929	0.529411792755127	0.3333333432674408	0.6000000238418579	42
7	0.5833333730697632	0.75	0.5	0.25	42
8	0.307692289352417	0.5	0.0	0.0	42
9	0.5166666507720947	0.5625	0.4000000059604645	0.3333333432674408	42
10	0.4750000238418579	0.5882353186607361	0.25	0.20000000298023224	135
11	0.5595238208770752	0.7058823704719543	0.25	0.3333333432674408	135
12	0.4166666865348816	0.47058823704719543	0.125	0.3333333432674408	135
13	0.3333333134651184	0.5882353186607361	0.0	0.0	135
14	0.5714285969734192	0.6470588445663452	1.0	0.1428571492433548	135
15	0.5151515007019043	0.47058823704719543	0.3636363744735718	0.6666666865348816	135
16	0.5480769276618958	0.7058823704719543	0.3333333432674408	0.25	135
17	0.4727272391319275	0.5	0.2857142984867096	0.4000000059604645	135
18	0.6794872283935547	0.6875	0.3333333432674408	0.6666666865348816	135
19	0.75	0.8125	1.0	0.5	135
20	0.3928571343421936	0.6470588445663452	0.0	0.0	23
21	0.5142857432365417	0.529411792755127	0.4285714328289032	0.4285714328289032	23
22	0.509615421295166	0.6470588445663452	0.25	0.25	23
23	0.625	0.8235294222831726	1.0	0.25	23
24	0.4711538553237915	0.5882353186607361	0.20000000298023224	0.25	23
25	0.39393940567970276	0.4117647111415863	0.25	0.3333333432674408	23
26	0.797619104385376	0.8823529481887817	0.6666666865348816	0.6666666865348816	23
27	0.6636363863945007	0.6875	0.5	0.6000000238418579	23
28	0.5666667222976685	0.625	0.5	0.3333333432674408	23
29	0.5357142686843872	0.5625	0.1428571492433548	0.5	23
30	0.575757622718811	0.6470588445663452	0.5	0.3333333432674408	7
31	0.2916666865348816	0.4117647111415863	0.0	0.0	7
32	0.5833333134651184	0.6470588445663452	0.1666666716337204	0.5	7
33	0.40909090638160706	0.529411792755127	0.0	0.0	7
34	0.39423081278800964	0.47058823704719543	0.1428571492433548	0.25	7
35	0.6904762387275696	0.7058823704719543	0.3333333432674408	0.6666666865348816	7
36	0.523809552192688	0.6470588445663452	0.20000000298023224	0.3333333432674408	7
37	0.4727272391319275	0.5	0.2857142984867096	0.4000000059604645	7
38	0.3636363744735718	0.5	0.0	0.0	7
39	0.6545454263687134	0.75	0.6666666865348816	0.4000000059604645	7
40	0.569444477558136	0.5882353186607361	0.6666666865348816	0.25	49
41	0.6547619700431824	0.6470588445663452	0.2857142984867096	0.6666666865348816	49
42	0.7980769276618958	0.8235294222831726	0.6000000238418579	0.75	49
43	0.509615421295166	0.6470588445663452	0.25	0.25	49
44	0.6333333253860474	0.6470588445663452	0.4285714328289032	0.6000000238418579	49
45	0.6212121248245239	0.7058823704719543	0.6666666865348816	0.3333333432674408	49
46	0.31060606241226196	0.3529411852359772	0.1428571492433548	0.1666666716337204	49
47	0.5714285969734192	0.625	0.1666666716337204	0.5	49
48	0.5512821078300476	0.6875	0.25	0.3333333432674408	49
49	0.307692289352417	0.5	0.0	0.0	49
50	0.375	0.529411792755127	0.0	0.0	1991
51	0.7071428894996643	0.7058823704719543	0.625	0.7142857313156128	1991
52	0.761904776096344	0.8235294222831726	0.5	0.6666666865348816	1991
53	0.3461538553237915	0.529411792755127	0.0	0.0	1991
54	0.682692289352417	0.6470588445663452	0.375	0.75	1991
55	0.5595238208770752	0.7058823704719543	0.25	0.3333333432674408	1991
56	0.35606056451797485	0.4117647111415863	0.1666666716337204	0.1666666716337204	1991
57	0.75	0.875	1.0	0.5	1991
58	0.30000001192092896	0.5625	0.0	0.0	1991
59	0.476190447807312	0.5	0.4000000059604645	0.2857142984867096	1991
60	0.6642857193946838	0.7058823704719543	0.75	0.4285714328289032	1970
61	0.5333333015441895	0.5882353186607361	0.3333333432674408	0.4000000059604645	1970
62	0.6346153616905212	0.7058823704719543	0.4000000059604645	0.5	1970
63	0.3916666805744171	0.47058823704719543	0.1666666716337204	0.20000000298023224	1970
64	0.491666704416275	0.529411792755127	0.2857142984867096	0.4000000059604645	1970
65	0.4711538553237915	0.5882353186607361	0.20000000298023224	0.25	1970
66	0.4469697177410126	0.529411792755127	0.25	0.1666666716337204	1970
67	0.5128205418586731	0.625	0.20000000298023224	0.3333333432674408	1970
68	0.7179487347602844	0.75	0.4000000059604645	0.6666666865348816	1970
69	0.5714285969734192	0.625	0.1666666716337204	0.5	1970
70	0.6309524178504944	0.8235294222831726	0.5	0.3333333432674408	30
71	0.7261905074119568	0.7647058963775635	0.4000000059604645	0.6666666865348816	30
72	0.4848484992980957	0.529411792755127	0.3333333432674408	0.3333333432674408	30
73	0.3928571343421936	0.6470588445663452	0.0	0.0	30
74	0.4333333373069763	0.529411792755127	0.20000000298023224	0.20000000298023224	30
75	0.4880952537059784	0.5882353186607361	0.1666666716337204	0.3333333432674408	30
76	0.0	0.7058823704719543	0.0	0.0	30
77	0.5476190447807312	0.5625	0.5	0.4285714328289032	30
78	0.60317462682724	0.625	0.6000000238418579	0.4285714328289032	30
79	0.6587302088737488	0.6875	0.75	0.4285714328289032	30
80	0.5480769276618958	0.7058823704719543	0.3333333432674408	0.25	108
81	0.523809552192688	0.6470588445663452	0.20000000298023224	0.3333333432674408	108
82	0.675000011920929	0.7058823704719543	0.5	0.6000000238418579	108
83	0.491666704416275	0.529411792755127	0.2857142984867096	0.4000000059604645	108
