	auc	binaryaccuracy	precision	recall	seed
0	0.5	0.8	0.0	0.0	42
1	0.75	0.8	1.0	0.5	42
2	0.5	0.8	0.0	0.0	42
3	0.75	0.6	1.0	0.5	42
4	0.5	0.6	0.0	0.0	42
5	0.0	0.2	1.0	0.2	42
6	0.375	0.6	0.0	0.0	42
7	0.5	0.6	0.0	0.0	42
8	0.0	0.8	0.0	0.0	42
9	0.5	0.75	0.0	0.0	42
10	0.75	0.8	1.0	0.5	135
11	0.25	0.4	0.0	0.0	135
12	0.125	0.2	0.0	0.0	135
13	0.5833333	0.6	0.5	0.5	135
14	0.6666667	0.6	1.0	0.33333334	135
15	0.5	0.6	0.0	0.0	135
16	0.5	0.6	0.0	0.0	135
17	0.375	0.6	0.0	0.0	135
18	0.5	0.6	0.0	0.0	135
19	0.6666667	0.5	1.0	0.33333334	135
20	0.5	0.8	0.0	0.0	23
21	0.5833334	0.6	0.6666667	0.6666667	23
22	0.5	0.8	0.0	0.0	23
23	0.5	0.4	0.0	0.0	23
24	0.0	0.8	0.0	0.0	23
25	0.6666667	0.6	1.0	0.33333334	23
26	0.25	0.2	0.0	0.0	23
27	0.5	0.4	0.0	0.0	23
28	0.75	0.8	1.0	0.5	23
29	0.0	0.5	0.0	0.0	23
30	0.5	0.4	0.4	1.0	7
31	0.5	0.6	0.0	0.0	7
32	0.5	0.8	0.0	0.0	7
33	0.875	0.8	0.5	1.0	7
34	0.75	0.8	1.0	0.5	7
35	0.5	0.6	0.0	0.0	7
36	0.25	0.2	0.0	0.0	7
37	0.5	0.4	0.0	0.0	7
38	0.5	0.8	0.0	0.0	7
39	0.5	0.5	0.0	0.0	7
40	0.75	0.8	1.0	0.5	49
41	0.75	0.8	1.0	0.5	49
42	0.0	1.0	0.0	0.0	49
43	0.5	0.6	0.0	0.0	49
44	0.5	0.6	0.0	0.0	49
45	0.16666666	0.2	0.0	0.0	49
46	0.75	0.8	1.0	0.5	49
47	0.0	0.0	0.0	0.0	49
48	0.5	0.6	0.0	0.0	49
49	0.3333333	0.5	0.0	0.0	49
50	0.6666666	0.6	0.5	1.0	1991
51	0.25	0.2	0.0	0.0	1991
52	0.16666666	0.2	0.0	0.0	1991
53	0.5	0.6	0.0	0.0	1991
54	0.375	0.6	0.0	0.0	1991
55	0.8333334	0.8	1.0	0.6666667	1991
56	0.5	0.8	0.0	0.0	1991
57	0.5	0.8	0.0	0.0	1991
58	0.5	0.4	0.0	0.0	1991
59	0.5	0.75	0.0	0.0	1991
60	0.5	0.4	0.0	0.0	1970
61	0.75	0.8	1.0	0.5	1970
62	0.5	0.8	0.0	0.0	1970
63	0.6666667	0.6	1.0	0.33333334	1970
64	0.5	0.4	0.0	0.0	1970
65	0.5	0.8	0.0	0.0	1970
66	0.0	0.8	0.0	0.0	1970
67	0.25	0.2	0.0	0.0	1970
68	0.75	0.6	0.33333334	1.0	1970
69	0.5	0.5	0.0	0.0	1970
70	0.75	0.8	1.0	0.5	30
71	0.5	0.8	0.0	0.0	30
72	0.3333333	0.4	0.0	0.0	30
73	0.4166667	0.4	0.5	0.33333334	30
74	0.5	0.6	0.0	0.0	30
75	0.6666667	0.6	1.0	0.33333334	30
76	0.75	0.8	1.0	0.5	30
77	0.875	0.8	0.5	1.0	30
78	0.5	0.6	0.0	0.0	30
79	0.3333333	0.5	0.0	0.0	30
80	0.41666666	0.4	0.33333334	0.5	108
81	0.5	0.6	0.0	0.0	108
82	0.5	0.8	0.0	0.0	108
83	0.5	0.8	0.0	0.0	108
84	0.0	0.4	0.0	0.0	108
85	0.0	0.2	1.0	0.2	108
86	0.875	0.8	0.5	1.0	108
87	0.375	0.6	0.0	0.0	108
88	0.6666667	0.6	1.0	0.33333334	108
89	0.5	0.25	0.0	0.0	108
90	0.5	0.4	0.0	0.0	5
91	0.5	0.6	0.0	0.0	5
92	0.6666667	0.6	1.0	0.33333334	5
93	0.5	0.4	0.0	0.0	5
94	0.5	0.4	0.0	0.0	5
95	0.0	0.6	0.0	0.0	5
96	0.16666666	0.2	0.0	0.0	5
97	1.0	1.0	1.0	1.0	5
98	0.25	0.4	0.0	0.0	5
99	0.5	0.75	0.0	0.0	5
