	auc	binaryaccuracy	precision	recall	seed
0	0.53030306	0.5882353	0.4	0.33333334	42
1	0.65	0.5882353	0.4	0.8	42
2	0.5595238	0.7058824	0.25	0.33333334	42
3	0.673077	0.7647059	0.5	0.5	42
4	0.575	0.64705884	0.4	0.4	42
5	0.92857146	0.88235295	0.6	1.0	42
6	0.5333333	0.5882353	0.33333334	0.4	42
7	0.6666667	0.75	0.5	0.5	42
8	0.3846154	0.625	0.0	0.0	42
9	0.75	0.8125	1.0	0.5	42
10	0.51666665	0.64705884	0.33333334	0.2	135
11	0.32142857	0.5294118	0.0	0.0	135
12	0.61904764	0.5882353	0.25	0.6666667	135
13	0.6166667	0.7058824	0.2	0.5	135
14	0.61428577	0.64705884	0.6	0.42857143	135
15	0.69696975	0.7058824	0.5714286	0.6666667	135
16	0.5480769	0.7058824	0.33333334	0.25	135
17	0.47272724	0.5	0.2857143	0.4	135
18	0.7564103	0.8125	0.5	0.6666667	135
19	0.59999996	0.625	0.5	0.5	135
20	0.61904764	0.5882353	0.25	0.6666667	23
21	0.5642857	0.5882353	0.5	0.42857143	23
22	0.59615386	0.64705884	0.33333334	0.5	23
23	0.673077	0.7647059	0.5	0.5	23
24	0.5096154	0.64705884	0.25	0.25	23
25	0.78030306	0.7647059	0.625	0.8333333	23
26	0.7619048	0.8235294	0.5	0.6666667	23
27	0.56363636	0.625	0.4	0.4	23
28	0.5666667	0.625	0.5	0.33333334	23
29	0.6785714	0.8125	0.33333334	0.5	23
30	0.65909094	0.7058824	0.6	0.5	7
31	0.51666665	0.64705884	0.33333334	0.2	7
32	0.90000004	0.8235294	0.4	1.0	7
33	0.7045454	0.7647059	0.75	0.5	7
34	0.63461536	0.7058824	0.4	0.5	7
35	0.4166667	0.47058824	0.125	0.33333334	7
36	0.52380955	0.64705884	0.2	0.33333334	7
37	0.5090909	0.625	0.33333334	0.2	7
38	0.6090909	0.6875	0.5	0.4	7
39	0.80909085	0.8125	0.6666667	0.8	7
40	0.5763889	0.5882353	0.6	0.375	49
41	0.65476197	0.64705884	0.2857143	0.6666667	49
42	0.625	0.8235294	1.0	0.25	49
43	0.5096154	0.64705884	0.25	0.25	49
44	0.5333333	0.5882353	0.33333334	0.4	49
45	0.8257575	0.8235294	0.71428573	0.8333333	49
46	0.6212121	0.7058824	0.6666667	0.33333334	49
47	0.85714287	0.75	0.33333334	1.0	49
48	0.51282054	0.625	0.2	0.33333334	49
49	0.71794873	0.75	0.4	0.6666667	49
50	0.55833334	0.7058824	0.5	0.2	1991
51	0.51428574	0.5294118	0.42857143	0.42857143	1991
52	0.5595238	0.7058824	0.25	0.33333334	1991
53	0.5576923	0.5882353	0.2857143	0.5	1991
54	0.6826923	0.64705884	0.375	0.75	1991
55	0.7261905	0.7647059	0.4	0.6666667	1991
56	0.44696972	0.5294118	0.25	0.16666667	1991
57	0.8333334	0.875	0.75	0.75	1991
58	0.8	0.625	0.14285715	1.0	1991
59	0.53174603	0.5625	0.5	0.2857143	1991
60	0.44285715	0.47058824	0.33333334	0.2857143	1970
61	0.4916667	0.5294118	0.2857143	0.4	1970
62	0.673077	0.7647059	0.5	0.5	1970
63	0.7166667	0.7647059	0.6	0.6	1970
64	0.65	0.5882353	0.4	0.8	1970
65	0.7115385	0.8235294	0.6666667	0.5	1970
66	0.6212121	0.7058824	0.6666667	0.33333334	1970
67	0.34615386	0.5625	0.0	0.0	1970
68	0.6666667	0.875	1.0	0.33333334	1970
69	0.5714286	0.625	0.16666667	0.5	1970
70	0.7976191	0.88235295	0.6666667	0.6666667	30
71	0.69047624	0.7058824	0.33333334	0.6666667	30
72	0.53030306	0.5882353	0.4	0.33333334	30
73	0.7261905	0.7647059	0.4	0.6666667	30
74	0.7583333	0.8235294	0.75	0.6	30
75	0.5119048	0.4117647	0.18181819	0.6666667	30
76	0.0	0.5882353	0.0	0.0	30
77	0.53174603	0.5625	0.5	0.2857143	30
78	0.71428573	0.75	1.0	0.42857143	30
79	0.5	0.5625	0.0	0.0	30
80	0.5480769	0.7058824	0.33333334	0.25	108
81	0.59523815	0.7647059	0.33333334	0.33333334	108
82	0.7583333	0.8235294	0.75	0.6	108
83	0.6333333	0.64705884	0.42857143	0.6	108
84	0.63461536	0.7058824	0.4	0.5	108
85	0.65000004	0.7647059	0.25	0.5	108
86	0.4513889	0.47058824	0.33333334	0.125	108
87	0.51282054	0.625	0.2	0.33333334	108
88	0.37272727	0.4375	0.16666667	0.2	108
89	0.80909085	0.8125	0.6666667	0.8	108
90	0.675	0.7058824	0.5	0.6	5
91	0.5595238	0.7058824	0.25	0.33333334	5
92	0.65476197	0.64705884	0.2857143	0.6666667	5
93	0.45	0.47058824	0.25	0.4	5
94	0.5757576	0.64705884	0.5	0.33333334	5
95	0.49242425	0.5882353	0.33333334	0.16666667	5
96	0.6583333	0.7647059	0.6666667	0.4	5
97	0.5	0.625	0.25	0.25	5
98	0.6166667	0.6875	0.6666667	0.33333334	5
99	0.8	0.625	0.14285715	1.0	5
